Gleditsia triacanthos
Ulmus glabra
Tilia americana
Prunus domestica
Solidago altissima
Comptonia peregrina
Picea pungens
Ostrya virginiana
Fraxinus americana
Cornus sericea
Tabebuia heterophylla
Gymnocladus dioicus
Gleditsia dioecus
Acer saccharum
Prunus persica
Leucanthemum vulgare
Linaria vulgaris
Beta vulgaris
Caragana arborescens
Clematis recta
Rubus odoratus
Salix lucida
Salix vitellina
Salix alba
Populus grandidentata
Salix nigra
Salix discolor
Quercus alba
Cornus canadensis
Viburnum lateriflora
Lonicera morrowii
Abies balsamea
Ambrosia artemisiifolia
Tanacetum huronense
Alnus incana
Rhododendron maximum
Lonicera canadensis
Rhus typhina
Artemisia vulgaris
Lotus corniculatus
Salix planifolia
Betula pubescens
Acer rubrum
Acer pensylvanicum
Acer spicatum
Impatiens pallida
Malus domestica
Brassica juncea
Antennaria parvifolia
Antennaria parviflora
Anemone canadensis
Suaeda calceoliformis
Salicornia rubra
Betula glandulosa
Senecio eremophilus
Descurainia sophia
Helianthus annuus
Allium stellatum
Lathyrus venosus
Rubus strigosus
Shepherdia argentea
Iva axillaris
Grindelia squarrosa
Potentilla bimundorum
Potentilla pennsylvanica
Saussurea angustifolia
Hedysarum boreale
Hedysarum mackenzii
Polemonium pulcherrimum
Astragalus aboriginum
Oxytropis campestris
Salix glauca
Solidago rugosa
Fraxinus excelsior
Encelia californica
Ambrosia chenopodiifolia
Ambrosia confertiflora
Prosopis glandulosa
Ceanothus cuneatus
Haplopappus berberidis
Adenostoma fasciculatum
Lotus scoparius
Sphaeralcea emoryi
Viguiera laciniata
Hymenoclea monogyra
Ephedra californica
Rosa minutifolia
Salvia saliva
Ceanothus tomentosus
Malva parviflora
Pinus monophylla
Quercus chrysolepis
Berberis fremontii
Dalea spinosa
Psorothamnus emoryi
Larrea tridentata
Ceanothus greggii
Pickeringia montana
Stipa cernua
Amsinckia tessellata
Allenrolfea occidentalis
Lycium andersonii
Acacia roemeriana
Cercocarpus breviflorus
Croton neomexicanus
Baccharis salicifolia
Muhlenbergia montana
Pinus leiophylla
Pinus discolor
Quercus rugosa
Quercus castanea
Quercus glaucoides
Quercus bolanyosensis
Quercus devia
Quercus depressipes
Chrysothamnus viscidiflorus
Arctostaphylos pungens
Gutierrezia microcephala
Parthenium incanum
Buddleja scordioides
Ephedra trifurca
Baileya multiradiata
Juniperus monosperma
Celtis pallida
Pinus lutea
Juniperus deppeana
Quercus durifolia
Senecio salignus
Quercus grisea
Quercus eduardii
Pinus engelmannii
Viscum album
Vitex pyramidata
Physalis philadelphica
Jatropha aconitifolia
Mimosa rhododactyla
Jacquinia pungens
Agastache adenophorum
Eupatorium adenophorum
Quercus polymorpha
Lantana urticifolia
Baccharis confertus
Quercus microlepis
Quercus rysophylla
Quercus laeta
Quercus grandis
Ceiba parvifolia
Croton alamosanus
Jacquinia seleriana
Ipomoea murucoides
Montanoa tomentosa
Ricinus communis
Phoradendron bolleanum
Acacia cochliacantha
Bursera submoniliformis
Calliandropsis nervosus
Barkleyanthus salicifolius
Quercus obtusata
Viguiera dentata
Chilopsis linearis
Quercus sideroxyla
Quercus scytophylla
Prosopis juliflora
Juniperus flaccida
Ehretia tinifolia
Quercus emoryi
Quercus canbyi
Lantana camara
Phacelia coulteri
Heliocarpus terebinthinaceus
Nicotiana tabacum
Hyptis suaveolens
Datura discolor
Mimosa pigra
Pinus teocote
Quercus magnoliaefolia
Sechium edule
Pinus glabra
Pinus clausa
Quercus minor
Pinus echinata
Salix hastata
Glycine max
Alnus tenuifolia
Picea sitchensis
Quercus oblongifolia
Fraxinus cuspidata
Quercus arizonica
Psorothamnus thompsonae
Rhus triloba
Lycium pallidum
Rhamnus crocea
Condalia spathulata
Acacia greggii
Ceanothus fendleri
Lotus rigidus
Wislizenia refracta
Pinus flexilis
Pinus edulis
Ericameria bloomeri
Urtica gracilenta
Ephedra trifurcata
Euphorbia albomarginata
Pinus chihuahuana
Baccharis glutinosa
Rhus microphyllus
Cercocarpus betuloides
Sphaeralcea augustifolia
Philadelphus rugosus
Juglans major
Quercus undulata
Solanum elaeagnifolium
Helenium hoopesii
Thymophylla acerosa
Anisacanthus thurberi
Dalea formosa
Eriogonum thomasii
Fallugia paradoxa
Verbesina encelioides
Lepidium thurberi
Heterotheca subaxillaris
Quercus turbinella
Phacelia crenulata
Robinia neomexicanus
Quercus reticulata
Melilotus alba
Quercus hypoleucoides
Atriplex canescens
Acacia constricta
Larrea mexicana
Platanus wrightii
Helianthus petiolaris
Baccharis sarothroides
Vicia pulchella
Hymenothrix wislizeni
Sarcobatus vermiculatus
Ephedra torreyana
Abies concolor
Atriplex confertiflora
Ceratoides lanata
Sphaeralcea ambigua
Sphaeralcea parvifolia
Artemisia sahariensis
Cowania mexicana
Hymenoxys ambigens
Quercus gambelii
Amelanchier utahensis
Rhus microphylla
Simmondsia chinensis
Phoradendron californicum
Hyptis emoryi
Cercocarpus montanus
Arctostaphylos pringlei
Lonicera albiflora
Hesperocyparis glabra
Cupressus arizonica
Hesperocyparis arizonica
Eriodictyon angustifolium
Scutellaria potosina
Ambrosia ambrosioides
Amsinckia intermedia
Lycium parishii
Rhus trilobata
Franseria deltoides
Allenrolfea occicentalis
Allenrolfea occidentale
Calliandra eriophylla
Prosopis velutina
Larrea divaricata
Ambrosia dumosa
Lycium fremontii
Atriplex polycarpa
Lesquerella gordonii
Chrysothamnus nauseosa
Holacantha emoryi
Eriogonum fasciculatum
Krameria parvifolia
Chrysothamnus paniculatus
Calylophus hartwegii
Juniperus osteosperma
Kallstroemia grandis
Arctostaphylos patula
Pinus strobiformis
Olneya tesota
Ambrosia deltoidea
Condalia globosa
Lycium berlandieri
Hymenoclea salsola
Fraxinus velutina
Pinus cembroides
Dondia suffrutescens
Sphaeralcea coccinea
Sisymbrium irio
Amsinckia menziesii
