FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Castanopsis chrysophylla		13100021	FullnameNoAuthors	Castanopsis chrysophylla (Douglas ex Hook.) A. DC.	J. Bot.	1: 182	1		182	1863		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:15787&volume=1&issue=&spage=182&date=1863	4415
	Fraxinus latifolia		23000141	FullnameNoAuthors	Fraxinus latifolia Benth.	Bot. Voy. Sulphur	33			33	1844		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:908&volume=&issue=&spage=33&date=1844	4415
	Bromus mollis		25510820	FullnameNoAuthors	Bromus mollis L.	Sp. Pl. (ed. 2)	1: 112	1		112	1762		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:11179&volume=1&issue=&spage=112&date=1762	4415
	Festuca arundinacea		25509613	FullnameNoAuthors	Festuca arundinacea Schreb.	Spic. Fl. Lips.	57			57	1771		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:6360&volume=&issue=&spage=57&date=1771	4415
	Poa secunda		25512425	FullnameNoAuthors	Poa secunda J. Presl	Reliq. Haenk.	1(4–5): 271	1	4-5	271	1830		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:515&volume=1&issue=4-5&spage=271&date=1830	4415
	Abies amabilis		24900242	FullnameNoAuthors	Abies amabilis Douglas ex J. Forbes	Pinet. Woburn.	125, pl. 44			125	1839		No opinion		4415
	Amelanchier alnifolia		27800027	FullnameNoAuthors	Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.	Fam. Nat. Syn. Monogr.	3: 147	3		147	1847		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:49482&volume=3&issue=&spage=147&date=1847	4415
	Larix decidua		24900158	FullnameNoAuthors	Larix decidua Mill.	Gard. Dict. Abr. (ed. 4)	no. 2			no. 2	1754		No opinion		4415
	Hypericum lloydii		7801140	FullnameNoAuthors	Hypericum lloydii (Svenson) W.P. Adams	Contr. Gray Herb.	189: 32	189		32	1962		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:59986&volume=189&issue=&spage=32&date=1962	4415
	Muhlenbergia lindheimeri		25512198	FullnameNoAuthors	Muhlenbergia lindheimeri Hitchc.	J. Wash. Acad. Sci.	24(7): 291	24	7	291	1934		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:2087&volume=24&issue=7&spage=291&date=1934	4415
	Tiquilia greggii		4000197	FullnameNoAuthors	Tiquilia greggii (Torr. & A. Gray) A.T. Richardson	Sida	6(3): 236	6	3	236	1976		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:8113&volume=6&issue=3&spage=236&date=1976	4415
	Pinus cembroides		24900181	FullnameNoAuthors	Pinus cembroides Zucc.	Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.	1: 392	1		392	1832		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:10920&volume=1&issue=&spage=392&date=1832	4415
	Atriplex matamorensis		7200831	FullnameNoAuthors	Atriplex matamorensis A. Nelson	Proc. Biol. Soc. Washington	17(12): 99	17	12	99	1904		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3622&volume=17&issue=12&spage=99&date=1904	4415
	Psorothamnus thompsonae														4415
	Rhus triloba														4415
	Tetradymia spinosa		2723926	FullnameNoAuthors	Tetradymia spinosa Hook. & Arn.	Bot. Beechey Voy.	360			360	1841	1839	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:246&volume=&issue=&spage=360&date=1841	4415
