FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Helenium amarum		2700849	FullnameNoAuthors	Helenium amarum (Raf.) H. Rock	Rhodora	59(702): 131	59	702	131	1957		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:721&volume=59&issue=702&spage=131&date=1957	4415
	Euphorbia maculata		12803488	FullnameNoAuthors	Euphorbia maculata L.	Sp. Pl.	1: 455	1		455	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=455&date=1753	4415
	Juniperus chinensis		9400124	FullnameNoAuthors	Juniperus chinensis L.	Mant. Pl.	1: 127	1		127	1767		Legitimate		4415
	Carya illinoinensis		16700024	FullnameNoAuthors	Carya illinoinensis (Wangenh.) K. Koch	Dendrologie	1: 593	1		593	1869		No opinion		4415
	Quercus douglasii		13100062	FullnameNoAuthors	Quercus douglasii Hook. & Arn.	Bot. Beechey Voy.	391			391	1841	1840	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:246&volume=&issue=&spage=391&date=1841	4415
	Quercus agrifolia		13100025	FullnameNoAuthors	Quercus agrifolia Née	Anales Ci. Nat.	3(9): 271–272	3	9	271	1801		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:162&volume=3&issue=9&spage=271&date=1801	4415
	Eriodictyon californicum		100333101	FullnameNoAuthors	Eriodictyon californicum Decne.	Voy. Venus, Bot. [Atl.]	22			22	1846		No opinion		4415
	Quercus wislizeni		13100161	FullnameNoAuthors	Quercus wislizeni A. DC.	Prodr.	16(2[1]): 67	16	2[1]	67	1864		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=16&issue=2[1]&spage=67&date=1864	4415
	Quercus lobata		13100094	FullnameNoAuthors	Quercus lobata Née	Anales Ci. Nat.	3(9): 277–278	3	9	277	1801		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:162&volume=3&issue=9&spage=277&date=1801	4415
	Ceanothus integerrimus		27500250	FullnameNoAuthors	Ceanothus integerrimus Hook. & Arn.	Bot. Beechey Voy.	329			329	1841	1838	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:246&volume=&issue=&spage=329&date=1841	4415
	Pinus sabiniana		24900215	FullnameNoAuthors	Pinus sabiniana Douglas ex D. Don	Descr. Pinus (ed. 3)	2: unnumbered page between 144 and 145, t. 80	2		unnumbered page between 144 and 145	1832		No opinion		4415
	Picea sitchensis		24900172	FullnameNoAuthors	Picea sitchensis (Bong.) Carrière	Traité Gén. Conif.	260			260	1855		No opinion		4415
	Ceanothus cordulatus		27500216	FullnameNoAuthors	Ceanothus cordulatus Kellogg	Proc. Calif. Acad. Sci.	2: 124–125, f. 39	2		124	1863		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7411&volume=2&issue=&spage=124&date=1863	4415
	Tiquilia palmeri		4000203	FullnameNoAuthors	Tiquilia palmeri (A. Gray) A.T. Richardson	Sida	6(3): 236	6	3	236	1976		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:8113&volume=6&issue=3&spage=236&date=1976	4415
	Psorothamnus emoryi		13015478	FullnameNoAuthors	Psorothamnus emoryi (A. Gray) Rydb.	N. Amer. Fl.	24(1): 47	24	1	47	1919		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:889&volume=24&issue=1&spage=47&date=1919	4415
	Dichoria canescens														4415
	Dicoria canescens		2709928	FullnameNoAuthors	Dicoria canescens A. Gray	Rep. U.S. Mex. Bound.	2(1): 87, pl. 30	2	1	87	1859		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:213&volume=2&issue=1&spage=87&date=1859	4415
	Dalea emoryi		13014091	FullnameNoAuthors	Dalea emoryi A. Gray	Pl. Nov. Thurb.	315			315	1854		No opinion		4415
	Encelia farinosa		2724056	FullnameNoAuthors	Encelia farinosa A. Gray ex Torr.	Not. Milit. Reconn.	143			143	1848		No opinion		4415
	Hymenoclea salsola		2710525	FullnameNoAuthors	Hymenoclea salsola Torr. & A. Gray	Mem. Amer. Acad. Arts, n.s.	4(1): 79	4	1	79	1849		No opinion	http://www.biodiversitylibrary.org/openurl?pid=item:49963&spage=79&date=1849	4415
	Camissonia claviformis		23200648	FullnameNoAuthors	Camissonia claviformis (Torr. & Frém.) P.H. Raven	Brittonia	16(3): 282	16	3	282	1964		No opinion		4415
	Sphaeralcea ambigua		19601152	FullnameNoAuthors	Sphaeralcea ambigua A. Gray	Proc. Amer. Acad. Arts	22(2): 292	22	2	292	1887		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=22&issue=2&spage=292&date=1887	4415
	Bebbia juncea		2700286	FullnameNoAuthors	Bebbia juncea (Benth.) Greene	Bull. Calif. Acad. Sci.	1(4A): 180	1	4A	180	1886	1885	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7412&volume=1&issue=4A&spage=180&date=1886	4415
	Purshia glandulosa		27801128	FullnameNoAuthors	Purshia glandulosa Curran	Bull. Calif. Acad. Sci.	1(3): 153	1	3	153	1885		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7412&volume=1&issue=3&spage=153&date=1885	4415
	Iva axillaris		2700941	FullnameNoAuthors	Iva axillaris Pursh	Fl. Amer. Sept.	2: 743	2		743	1814	1813	Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:100&volume=2&issue=&spage=743&date=1814	4415
	Ambrosia acanthicarpa		2709259	FullnameNoAuthors	Ambrosia acanthicarpa Hook.	Fl. Bor.-Amer.	1(6): 309	1	6	309	1833		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:691&volume=1&issue=6&spage=309&date=1833	4415
	Psorothamnus polydenius		13015480	FullnameNoAuthors	Psorothamnus polydenius (Torr.) Rydb.	N. Amer. Fl.	24(1): 46	24	1	46	1919		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:889&volume=24&issue=1&spage=46&date=1919	4415
	Encelia actonii														4415
	Ephedra nevadensis		14300025	FullnameNoAuthors	Ephedra nevadensis S. Watson	Proc. Amer. Acad. Arts	14: 298–299	14		298	1879		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=14&issue=&spage=298&date=1879	4415
	Calocedrus decurrens		9400069	FullnameNoAuthors	Calocedrus decurrens (Torr.) Florin	Taxon	5: 192	5		192	1956		Legitimate		4415
	Tetradymia stenolepis		2724405	FullnameNoAuthors	Tetradymia stenolepis Greene	Bull. Calif. Acad. Sci.	1(3): 92	1	3	92	1885		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7412&volume=1&issue=3&spage=92&date=1885	4415
	Salazaria mexicana		17601677	FullnameNoAuthors	Salazaria mexicana Torr.	Rep. U.S. Mex. Bound.	2(1): 133–134, pl. 39	2	1	133	1859		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:213&volume=2&issue=1&spage=133&date=1859	4415
	Quercus x alvordiana														4415
	Fremontodendron californicum		30401425	FullnameNoAuthors	Fremontodendron californicum (Torr.) Coville	Contr. U.S. Natl. Herb.	4: 74	4		74	1893		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=4&issue=&spage=74&date=1893	4415
	Quercus john-tuckeri		13100528	FullnameNoAuthors	Quercus john-tuckeri Nixon & C.H. Mull.	Novon	4(4): 391	4	4	391	1994		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:744&volume=4&issue=4&spage=391&date=1994	4415
	Prunus fasciculata		27801094	FullnameNoAuthors	Prunus fasciculata (Torr.) A. Gray	Proc. Amer. Acad. Arts	10: 70	10		70	1874		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=10&issue=&spage=70&date=1874	4415
	Lycium cooperi		29600038	FullnameNoAuthors	Lycium cooperi A. Gray	Proc. Amer. Acad. Arts	7(2): 388	7	2	388	1868		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=7&issue=2&spage=388&date=1868	4415
	Quercus garryana		13100063	FullnameNoAuthors	Quercus garryana Douglas ex Hook.	Fl. Bor.-Amer.	2: 159	2		159	1840		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:691&volume=2&issue=&spage=159&date=1840	4415
	Juniperus occidentalis		9400152	FullnameNoAuthors	Juniperus occidentalis Hook.	Fl. Bor.-Amer.	2: 166	2		166	1838		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:691&volume=2&issue=&spage=166&date=1838	4415
	Artemisia californica		2709371	FullnameNoAuthors	Artemisia californica Less.	Linnaea	6(3): 523	6	3	523	1831		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:626&volume=6&issue=3&spage=523&date=1831	4415
	Ambrosia psilostachya		2701652	FullnameNoAuthors	Ambrosia psilostachya DC.	Prodr.	5: 526	5		526	1836		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=5&issue=&spage=526&date=1836	4415
	Artemisia douglasiana		2701775	FullnameNoAuthors	Artemisia douglasiana Besser	Fl. Bor.-Amer.	1(6): 323	1	6	323	1833		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:691&volume=1&issue=6&spage=323&date=1833	4415
	Acamptopappus sphaerocephalus		50075003	FullnameNoAuthors	Acamptopappus sphaerocephalus (Harv. & A. Gray) A. Gray	Proc. Amer. Acad. Arts	8: 634	8		634	1873		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=8&issue=&spage=634&date=1873	4415
	Salvia dorrii		17601694	FullnameNoAuthors	Salvia dorrii (Kellogg) Abrams	Ill. Fl. Pacific States	3: 639	3		639	1951		No opinion		4415
	Sylibum marianum		2703311	FullnameNoAuthors	Sylibum marianum Gaertn.								No opinion		4415
	Ambrosia confertiflora		2701649	FullnameNoAuthors	Ambrosia confertiflora DC.	Prodr.	5: 526	5		526	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=5&issue=&spage=526&date=1836	4415
	Arctostaphylos viscida		12302540	FullnameNoAuthors	Arctostaphylos viscida Parry	Bull. Calif. Acad. Sci.	2(8C): 492–493	2	8C	492	1887		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7412&volume=2&issue=8C&spage=492&date=1887	4415
	Libocedrus decurrens		9400163	FullnameNoAuthors	Libocedrus decurrens Torr.	Smithsonian Contr. Knowl.	6(2): 7–8, pl. 3	6	2	7	1853		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=6&issue=2&spage=7&date=1853	4415
	Cercocarpus ledifolius		27801476	FullnameNoAuthors	Cercocarpus ledifolius Nutt.	Fl. N. Amer.	1(3): 427	1	3	427	1840		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=3&spage=427&date=1840	4415
	Psorothamnus fremontii		13056270	FullnameNoAuthors	Psorothamnus fremontii (Torr. ex A. Gray) Barneby	Mem. New York Bot. Gard.	27: 40	27		40	1977		Legitimate		4415
	Pinus radiata		24900210	FullnameNoAuthors	Pinus radiata D. Don	Trans. Linn. Soc. London	17: 442	17		442	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:683&volume=17&issue=&spage=442&date=1836	4415
	Phacelia distans		16200133	FullnameNoAuthors	Phacelia distans Benth.	Bot. Voy. Sulphur	36–37			36	1844		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:908&volume=&issue=&spage=36&date=1844	4415
	Marah macrocarpus														4415
	Salvia mellifera		17601712	FullnameNoAuthors	Salvia mellifera Greene	Pittonia	2(11C): 236	2	11C	236	1892		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:15369&volume=2&issue=11C&spage=236&date=1892	4415
	Quercus dumosa		13100195	FullnameNoAuthors	Quercus dumosa Nutt.	N. Amer. Sylv.	1(1): 18	1	1	18	1842		Legitimate		4415
	Quercus engelmanni														4415
	Ribes cereum		29100489	FullnameNoAuthors	Ribes cereum Douglas	Trans. Hort. Soc. London	7(4): 512–514	7	4	512	1830		No opinion		4415
	Eriodictyon crassifolium		16200064	FullnameNoAuthors	Eriodictyon crassifolium Benth.	Bot. Voy. Sulphur	35–36			35	1844		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:908&volume=&issue=&spage=35&date=1844	4415
	Adenostoma fasiculata														4415
	Adenostoma sparsifolium		27801460	FullnameNoAuthors	Adenostoma sparsifolium Torr.	Not. Milit. Reconn.	140			140	1848		No opinion		4415
	Ceanothus crassifolius		27500217	FullnameNoAuthors	Ceanothus crassifolius Torr.	Pacif. Railr. Rep.	4(5): 75	4	5	75	1857		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:11139&volume=4&issue=5&spage=75&date=1857	4415
	Adenostoma fasciculata														4415
	Ceanothus crassifolia														4415
	Eriogonum fastigiatum		50146579	FullnameNoAuthors	Eriogonum fastigiatum Parry	W. Amer. Sci.	6(47): 102–103	6	47	102	1889		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:39585&volume=6&issue=47&spage=102&date=1889	4415
	Olneya tesota		13053743	FullnameNoAuthors	Olneya tesota A. Gray	Pl. Nov. Thurb.	328			328	1854		Legitimate		4415
	Quercus palmeri		50005053	FullnameNoAuthors	Quercus palmeri Engelm.	Bot. California	2: 97	2		97	1880		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:30932&volume=2&issue=&spage=97&date=1880	4415
	Sambucus mexicana		6000150	FullnameNoAuthors	Sambucus mexicana C. Presl ex DC.	Prodr.	4: 322	4		322	1830		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=4&issue=&spage=322&date=1830	4415
	Quercus kellogii														4415
	Quercus x acutidens														4415
	Galium angustifolium		27902710	FullnameNoAuthors	Galium angustifolium Nutt. ex A. Gray	Bot. California	1: 285	1		285	1876		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:30932&volume=1&issue=&spage=285&date=1876	4415
	Psorothamnus schotti														4415
	Amorpha californica		13025135	FullnameNoAuthors	Amorpha californica Nutt.	Fl. N. Amer.	1(2): 306	1	2	306	1838		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=2&spage=306&date=1838	4415
	Ceanothus rigidus		27500283	FullnameNoAuthors	Ceanothus rigidus Nutt.	Fl. N. Amer.	1(2): 268	1	2	268	1838		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=2&spage=268&date=1838	4415
	Rhamnus californica		27500174	FullnameNoAuthors	Rhamnus californica Eschsch.	Mém. Acad. Imp. Sci. St. Pétersbourg Hist. Acad.	10(2): 285–286	10	2	285	1826		No opinion		4415
	Arctostaphylos drupacea		12302545	FullnameNoAuthors	Arctostaphylos drupacea (Parry) J.F. Macbr.	Contr. Gray Herb.	53: 16	53		16	1918		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:59986&volume=53&issue=&spage=16&date=1918	4415
	Eriodictyon trichocalyx		16200071	FullnameNoAuthors	Eriodictyon trichocalyx A. Heller	Muhlenbergia	1(5): 108–109	1	5	108	1904		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:14224&volume=1&issue=5&spage=108&date=1904	4415
	Stanleya pinnata		4101005	FullnameNoAuthors	Stanleya pinnata (Pursh) Britton	Trans. New York Acad. Sci.	8(3–4): 62	8	3-4	62	1889		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:12303&volume=8&issue=3-4&spage=62&date=1889	4415
	Quercus berberidifolia		13100530	FullnameNoAuthors	Quercus berberidifolia Liebm.	Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider	1854: 172	1854		172	1854		No opinion		4415
	Gutierrezia sarothrae		2700827	FullnameNoAuthors	Gutierrezia sarothrae (Pursh) Britton & Rusby	Trans. New York Acad. Sci.	7(1–2): 10	7	1-2	10	1887		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:12303&volume=7&issue=1-2&spage=10&date=1887	4415
