id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
3738	flexilis	Pinus	Pinaceae	longirostris	Phoenicocoris	Phylini	Miridae	6296	6292	6119	225	62	554	747	121	4	3.31	2	0	0	0	MEDIUM
3739	ledifolius	Cercocarpus	Rosaceae	cercocarpi	Atractotomus	Phylini	Miridae	6296	6292	5750	2909	376	448	804	20	1	5.00	1	0	0	0	LOW
3740	montanus	Cercocarpus	Rosaceae	hopi	Phytocoris	Mirini	Miridae	6296	8151	36447	67519	376	448	842	46	4	8.70	25	0	0	0	MEDIUM
3741	ponderosa	Pinus	Pinaceae	barberi	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	70174	62	554	879	22	4	18.18	10	0	0	0	MEDIUM
3742	ponderosa	Pinus	Pinaceae	fulvescens	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	59953	62	554	879	28	4	14.29	3	0	0	0	MEDIUM
3743	ponderosa	Pinus	Pinaceae	comulus	Phytocoris	Mirini	Miridae	6296	8151	36447	67898	62	554	879	14	7	50.00	11	0	0	0	HIGH
3744	ponderosa	Pinus	Pinaceae	corticola	Phytocoris	Mirini	Miridae	6296	8151	36447	75096	62	554	879	11	3	27.27	1	0	0	0	MEDIUM
3745	scouleriana	Salix	Salicaceae	aethiops	Psallus	Phylini	Miridae	6296	6292	6154	378	382	583	4825	218	1	0.46	10	0	0	0	LOW
3746	geyeri	Allium	Amaryllidaceae	lenensis	Labopidea	Orthotylini	Miridae	6296	6291	5973	1360	7902	4794	14508	79	1	1.27	14	0	0	0	LOW
3747	edulis	Pinus	Pinaceae	jezzardi	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4561	62	554	735	1	1	100.00	1	0	0	0	LOW
3748	frigida	Artemisia	Asteraceae	pumilum	Compsidolon	Phylini	Miridae	6296	6292	5816	509	98	418	751	161	7	4.35	17	0	0	0	MEDIUM
3749	gambelii	Quercus	Fagaceae	polhemorum	Bisulcopsallus	Phylini	Miridae	6296	6292	6469	6471	68	571	754	16	10	62.50	11	0	0	0	HIGH
3750	montanus	Cercocarpus	Rosaceae	cercocarpi	Parthenicus	Orthotylini	Miridae	6296	6291	6112	2211	376	448	842	20	5	25.00	3	0	0	0	MEDIUM
3751	ponderosa	Pinus	Pinaceae	crassipes	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4531	62	554	879	76	1	1.32	3	0	0	0	LOW
3752	montanus	Cercocarpus	Rosaceae	cercocarpicola	Oligotylus	Phylini	Miridae	6296	6292	6073	389	376	448	842	84	10	11.90	6	0	0	0	MEDIUM
3753	interior	Salix	Salicaceae	fuscosus	Plagiognathus	Phylini	Miridae	6296	6292	6132	330	382	583	786	287	3	1.05	3	0	0	0	LOW
3754	montanus	Cercocarpus	Rosaceae	tephrosicola	Teleorhinus	Pronotocrepini	Miridae	6296	6306	6309	6336	376	448	842	50	1	2.00	1	0	0	0	LOW
3755	cereum	Ribes	Grossulariaceae	princeps	Aoplonema	Orthotylini	Miridae	6296	6291	5734	614	227	578	696	316	1	0.32	1	0	0	0	LOW
3756	trilobata	Rhus	Anacardiaceae	princeps	Aoplonema	Orthotylini	Miridae	6296	6291	5734	614	85	577	4065	316	1	0.32	2	0	0	0	LOW
3757	interior	Salix	Salicaceae	salicis	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4603	382	583	786	36	2	5.56	2	0	0	0	LOW
3758	amygdaloides	Salix	Salicaceae	obscurus	Plagiognathus	Phylini	Miridae	6296	6292	6132	349	382	583	647	325	1	0.31	1	0	0	0	LOW
3759	gambelii	Quercus	Fagaceae	quercicola	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	70358	68	571	754	67	1	1.49	1	0	0	0	LOW
3760	scopulorum	Juniperus	Cupressaceae	spinosus	Dichaetocoris	Orthotylini	Miridae	6296	6291	5849	928	63	511	8739	55	1	1.82	4	0	0	0	LOW
3761	amygdaloides	Salix	Salicaceae	salicis	Lopidea	Orthotylini	Miridae	6296	6291	6002	1523	382	583	647	19	8	42.11	9	0	0	0	HIGH
3762	trilobata	Rhus	Anacardiaceae	media	Lopidea	Orthotylini	Miridae	6296	6291	6002	1484	85	577	4065	386	1	0.26	1	0	0	0	LOW
3763	interior	Salix	Salicaceae	obsoletus	Parthenicus	Orthotylini	Miridae	6296	6291	6112	2244	382	583	786	8	2	25.00	13	0	0	0	LOW
3764	gambelii	Quercus	Fagaceae	fusiformis	Ceratocapsidea	Ceratocapsini	Miridae	6296	34068	34071	35482	68	571	754	124	4	3.23	6	0	0	0	MEDIUM
3765	trilobata	Rhus	Anacardiaceae	oreades	Parthenicus	Orthotylini	Miridae	6296	6291	6112	2245	85	577	4065	31	1	3.23	1	0	0	0	LOW
3766	nauseosus consimilis	Chrysothamnus	Asteraceae	hirtus	Slaterocoris	Orthotylini	Miridae	6296	6291	6200	2558	98	451	6511	44	1	2.27	1	0	0	0	LOW
3767	tridentata	Artemisia	Asteraceae	pulicarius	Chlamydatus	Phylini	Miridae	6296	6292	5807	95	98	418	948	279	1	0.36	1	0	0	0	LOW
3768	viscidiflorus	Chrysothamnus	Asteraceae	calli	Lopidea	Orthotylini	Miridae	6296	6291	6002	85282	98	451	963	3	2	66.67	16	0	0	0	LOW
3769	edulis	Pinus	Pinaceae	apicatus	Ceratocapsus	Ceratocapsini	Miridae	6296	34068	5802	710	62	554	735	86	3	3.49	2	0	0	0	LOW
3770	tridentata	Artemisia	Asteraceae	bakeri	Orectoderus	Pronotocrepini	Miridae	6296	6306	6325	6338	98	418	948	39	3	7.69	13	0	0	0	LOW
3771	montanus	Cercocarpus	Rosaceae	alpinus	Slaterocoris	Orthotylini	Miridae	6296	6291	6200	2537	376	448	842	29	1	3.45	1	0	0	0	LOW
3772	villosa	Heterotheca	Asteraceae	chloris	Ilnacora	Orthotylini	Miridae	6296	6291	5942	1279	98	1468	9865	94	2	2.13	2	0	0	0	LOW
3773	villosa	Heterotheca	Asteraceae	chrysopsis	Polymerus	Mirini	Miridae	6296	8151	41124	73960	98	1468	9865	10	2	20.00	20	0	0	0	LOW
3774	montanus	Cercocarpus	Rosaceae	brevis	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	37485	376	448	842	849	4	0.47	6	0	0	0	LOW
3775	filifolia	Artemisia	Asteraceae	pilosula	Europiella	Phylini	Miridae	6296	6292	5876	30	98	418	744	93	5	5.38	2	0	0	0	MEDIUM
3776	filifolia	Artemisia	Asteraceae	artemisicola	Pseudopsallus	Orthotylini	Miridae	6296	6291	6165	2369	98	418	744	14	3	21.43	61	0	0	0	MEDIUM
3777	canescens	Atriplex	Amaranthaceae	atriplicis	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	35051	83	424	686	11	6	54.55	3	0	1	0	HIGH
3778	tridentata	Artemisia	Asteraceae	obliquus	Chlamydatus	Phylini	Miridae	6296	6292	5807	93	98	418	948	207	4	1.93	1	0	0	0	LOW
3779	tridentata	Artemisia	Asteraceae	ovatus	Atractotomus	Phylini	Miridae	6296	6292	5750	2939	98	418	948	51	1	1.96	1	0	0	0	LOW
3780	menziesii	Pseudotsuga	Pinaceae	rubrotinctus	Pinalitus	Mirini	Miridae	6296	8151	37457	73345	62	568	831	32	13	40.63	44	0	0	0	HIGH
3781	gambelii	Quercus	Fagaceae	cercocarpi	Phytocoris	Mirini	Miridae	6296	8151	36447	55235	68	571	754	16	1	6.25	1	0	0	0	LOW
3782	nauseosus	Chrysanthemoides	Asteraceae	atriflavus	Lygus	Mirini	Miridae	6296	8151	8152	37479	98	1570	9299	157	1	0.64	2	0	0	0	LOW
3783	nauseosus	Chrysothamnus	Asteraceae	brevis	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	37485	98	451	847	849	9	1.06	13	0	0	0	LOW
3784	cinereus	Elymus	Poaceae	pacifica	Irbisia	Mirini	Miridae	6296	8151	36462	37475	352	4689	8845	416	11	2.64	27	0	0	0	MEDIUM
3785	gambelii	Quercus	Fagaceae	vicarius	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4629	68	571	754	76	1	1.32	1	0	0	0	LOW
3786	gambelii	Quercus	Fagaceae	inops	Phytocoris	Mirini	Miridae	6296	8151	36447	37504	68	571	754	100	5	5.00	8	0	0	0	MEDIUM
3787	gambelii	Quercus	Fagaceae	ute	Lopidea	Orthotylini	Miridae	6296	6291	6002	1546	68	571	754	64	2	3.13	3	0	0	0	LOW
3788	concolor	Abies	Pinaceae	rostratus	Pinalitus	Mirini	Miridae	6296	8151	37457	41130	62	394	704	9	1	11.11	1	0	0	0	LOW
3789	concolor	Abies	Pinaceae	piceicola	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	37489	62	394	704	78	2	2.56	3	0	0	0	LOW
3790	concolor	Abies	Pinaceae	picipes	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	76257	62	394	704	18	3	16.67	6	0	0	0	MEDIUM
3791	filifolia	Artemisia	Asteraceae	picta	Lopidea	Orthotylini	Miridae	6296	6291	6002	1510	98	418	744	110	1	0.91	8	0	0	0	LOW
3792	americana	Vicia	Fabaceae	longipennis	Plagiognathus	Phylini	Miridae	6296	6292	6132	340	211	621	8577	162	1	0.62	2	0	0	0	LOW
3793	cana	Artemisia	Asteraceae	brunneus	Plagiognathus	Phylini	Miridae	6296	6292	6132	342	98	418	683	331	1	0.30	2	0	0	0	LOW
3794	cana	Artemisia	Asteraceae	robustus	Slaterocoris	Orthotylini	Miridae	6296	6291	6200	2571	98	418	683	264	1	0.38	11	0	0	0	LOW
3795	frigida	Artemisia	Asteraceae	robustus	Slaterocoris	Orthotylini	Miridae	6296	6291	6200	2571	98	418	751	264	1	0.38	1	0	0	0	LOW
3796	bloomeri	Ericameria	Asteraceae	hirtus	Labops	Halticini	Miridae	6296	6288	5974	1373	98	1622	4935	376	1	0.27	1	0	0	0	LOW
3797	canadensis	Shepherdia	Elaeagnaceae	viridipennis	Paraproba	Orthotylini	Miridae	6296	6291	6105	2195	197	590	8607	4	1	25.00	2	0	0	0	LOW
3798	tremuloides	Populus	Salicaceae	sallei	Paraproba	Orthotylini	Miridae	6296	6291	6105	67949	382	563	945	5	1	20.00	1	0	0	0	LOW
