id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
727	frigida	Artemisia	Asteraceae	pulicarius	Chlamydatus	Phylini	Miridae	6296	6292	5807	95	98	418	751	279	1	0.36	1	0	0	0	LOW
728	glandulosa	Betula	Betulaceae	alni	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1795	109	430	759	51	2	3.92	5	0	0	0	LOW
729	bimundorum	Potentilla	Rosaceae	viridicata	Brooksetta	Orthotylini	Miridae	6296	6291	5783	682	376	564	5361	54	1	1.85	3	0	0	0	LOW
730	pennsylvanica	Potentilla	Rosaceae	mistus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1993	376	564	5364	26	1	3.85	2	0	0	0	LOW
731	glandulosa	Betula	Betulaceae	gilvipes	Mecomma	Orthotylini	Miridae	6296	6291	6023	1588	109	430	759	307	1	0.33	1	0	0	0	LOW
732	glandulosa	Betula	Betulaceae	kimi	Psallus	Phylini	Miridae	6296	6292	6154	4913	109	430	759	37	2	5.41	2	0	0	0	LOW
733	angustifolia	Saussurea	Asteraceae	bermani	Labopidea	Orthotylini	Miridae	6296	6291	5973	1351	98	4853	10072	30	1	3.33	1	0	0	0	LOW
734	boreale	Hedysarum	Fabaceae	keltoni	Chlamydatus	Phylini	Miridae	6296	6292	5807	539	211	497	1218	226	1	0.44	2	0	0	0	LOW
735	boreale	Hedysarum	Fabaceae	dakota	Lopidea	Orthotylini	Miridae	6296	6291	6002	1437	211	497	1218	287	2	0.70	5	0	0	0	LOW
736	mackenzii	Hedysarum	Fabaceae	nigridia	Lopidea	Orthotylini	Miridae	6296	6291	6002	1499	211	497	820	296	1	0.34	3	0	0	0	LOW
737	canadensis	Shepherdia	Elaeagnaceae	kimi	Psallus	Phylini	Miridae	6296	6292	6154	4913	197	590	8607	37	1	2.70	1	0	0	0	LOW
738	glauca	Picea	Pinaceae	rolfsi	Pinophylus	Phylini	Miridae	6296	6292	6129	358	62	553	760	56	1	1.79	1	0	0	0	LOW
739	pulcherrimum	Polemonium	Polemoniaceae	pilosus	Bothynotus	Clivinemini	Miridae	6296	73888	70177	70178	354	6027	6028	1	1	100.00	2	0	0	0	LOW
740	tilesii	Artemisia	Asteraceae	bohemanni	Monosynamma	Phylini	Miridae	6296	6292	6038	4205	98	418	939	292	2	0.68	2	0	0	0	LOW
741	aboriginum	Astragalus	Fabaceae	keltoni	Chlamydatus	Phylini	Miridae	6296	6292	5807	539	211	423	6508	226	1	0.44	2	0	0	0	LOW
742	canadensis	Shepherdia	Elaeagnaceae	lalannei	Parthenicus	Orthotylini	Miridae	6296	6291	6112	6645	197	590	8607	7	1	14.29	9	0	0	0	LOW
743	pennsylvanica	Potentilla	Rosaceae	viridicata	Brooksetta	Orthotylini	Miridae	6296	6291	5783	682	376	564	5364	54	1	1.85	4	0	0	0	LOW
744	campestris	Oxytropis	Fabaceae	keltoni	Chlamydatus	Phylini	Miridae	6296	6292	5807	539	211	542	682	226	1	0.44	2	0	0	0	LOW
745	aboriginum	Astragalus	Fabaceae	viridicata	Brooksetta	Orthotylini	Miridae	6296	6291	5783	682	211	423	6508	54	1	1.85	1	0	0	0	LOW
746	aboriginum	Astragalus	Fabaceae	mistus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1993	211	423	6508	26	1	3.85	4	0	0	0	LOW
747	angustifolium	Chamerion	Onagraceae	annexa	Lygidea	Mirini	Miridae	6296	8151	52789	52797	327	4718	650	103	1	0.97	1	0	0	0	LOW
748	glauca	Salix	Salicaceae	aethiops	Psallus	Phylini	Miridae	6296	6292	6154	378	382	583	10043	218	1	0.46	1	0	0	0	LOW
749	mariana	Picea	Pinaceae	latifrons	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73518	62	553	825	169	1	0.59	1	0	0	0	LOW
750	mugo	Pinus	Pinaceae	magnicornis	Atractotomus	Phylini	Miridae	6296	6292	5750	2924	62	554	843	151	1	0.66	2	0	0	0	LOW
751	glauca	Picea	Pinaceae	rubricatus	Pinalitus	Mirini	Miridae	6296	8151	37457	41486	62	553	760	12	6	50.00	22	0	0	0	HIGH
752	rugosa	Solidago	Asteraceae	molliculus	Megalocoleus	Phylini	Miridae	6296	6292	6025	4123	98	595	9689	406	1	0.25	1	0	0	0	LOW
753	rugosa	Solidago	Asteraceae	lineolatus	Adelphocoris	Mirini	Miridae	6296	8151	37480	37481	98	595	9689	251	1	0.40	1	0	0	0	LOW
754	excelsior	Fraxinus	Oleaceae	flavosparsus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1905	325	483	2127	1082	2	0.18	3	0	0	0	LOW
755	glauca	Picea	Pinaceae	approximatus	Pinalitus	Mirini	Miridae	6296	8151	37457	41129	62	553	760	55	2	3.64	34	0	0	0	MEDIUM_HIGH
756	tuberosum	Solanum	Solanaceae	norvegicus	Closterotomus	Mirini	Miridae	6296	8151	50778	50779	9	1802	5640	90	1	1.11	1	0	0	0	LOW
